school,program,program_category,degree,degree_category,state,city,square_miles,population,density,average_winter,average_summer,latitude,longitude,link,date_collected
"University of California, San Diego",Biostatistics,Biostatistics,PhD,Doctorate,California,San Diego,372.4,1381069,3709,64.4,68.7,32.8782951,-117.222888,http://biostat.ucsd.edu/,2016-04
"University of California, San Diego",Statistics,Statistics,MS,Master,California,San Diego,372.4,1381069,3709,64.4,68.7,32.8790371,-117.2411406,https://math.ucsd.edu/,2016-04
"University of California, San Diego",Mathematics with Statistics Concentration,Statistics,PhD,Doctorate,California,San Diego,372.4,1381069,3709,64.4,68.7,32.8790371,-117.2411406,https://math.ucsd.edu/,2016-04
"University of California, San Francisco",Epidemiology and Biostatistics,Biostatistics,PhD,Doctorate,California,San Francisco,46.87,852469,18188,57.5,64.5,37.7674648,-122.3904991,http://epibiostat.ucsf.edu/,2016-04
"University of California, Santa Barbara",Statistics,Statistics,MA,Master,California,Santa Barbara,41.97,91196,2173,55.5,64.2,34.4137314,-119.8475826,http://www.pstat.ucsb.edu/,2016-04
"University of California, Santa Barbara",Statistics,Statistics,PhD,Doctorate,California,Santa Barbara,41.97,91196,2173,55.5,64.2,34.4137314,-119.8475826,http://www.pstat.ucsb.edu/,2016-04
"University of California, Santa Cruz",Statistics and Applied Mathematics,Statistics,MS,Master,California,Santa Cruz,15.83,63364,4003,53.5,62.5,37.0004316,-122.0635115,https://www.soe.ucsc.edu/departments/applied-mathematics-statistics,2016-04
"University of California, Santa Cruz",Statistics and Applied Mathematics,Statistics,PhD,Doctorate,California,Santa Cruz,15.83,63364,4003,53.5,62.5,37.0004316,-122.0635115,https://www.soe.ucsc.edu/departments/applied-mathematics-statistics,2016-04
University of Southern California,Biostatistics,Biostatistics,MS,Master,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0656223,-118.1972069,https://biostatepi.usc.edu/,2016-04
University of Southern California,Biostatistics,Biostatistics,PhD,Doctorate,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0656223,-118.1972069,https://biostatepi.usc.edu/,2016-04
University of Southern California,Statistics,Statistics,MS,Master,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0225014,-118.2910466,http://dornsife.usc.edu/mathematics/,2016-04
University of Southern California,Statistics,Statistics,PhD,Doctorate,California,Los Angeles,503,3928864,7811,61.8,71.6,34.0191761,-118.2855928,https://www.marshall.usc.edu/phd/fields/statistics,2016-04
Colorado School of Mines,Statistics,Statistics,MS,Master,Colorado,Golden,9,20201,2245,38.5,68.9,39.7548569,-105.221563,http://ams.mines.edu/,2016-04
Colorado School of Mines,Statistics,Statistics,PhD,Doctorate,Colorado,Golden,9,20201,2245,38.5,68.9,39.7548569,-105.221563,http://ams.mines.edu/,2016-04
Colorado State University,Statistics,Statistics,MS,Master,Colorado,Fort Collins,47.1,156480,3322,34.7,67.4,40.5756565,-105.081889,http://www.stat.colostate.edu/,2016-04
Colorado State University,Statistics,Statistics,PhD,Doctorate,Colorado,Fort Collins,47.1,156480,3322,34.7,67.4,40.5756565,-105.081889,http://www.stat.colostate.edu/,2016-04
University of Colorado Denver,Applied Biostatistics,Biostatistics,MPH,Master,Colorado,Denver,155,663862,4283,37.5,70.2,39.7451883,-104.8377104,http://www.ucdenver.edu/academics/colleges/PublicHealth/Academics/departments/Biostatistics/,2016-04
University of Colorado Denver,Biostatistics,Biostatistics,MS,Master,Colorado,Denver,155,663862,4283,37.5,70.2,39.7451883,-104.8377104,http://www.ucdenver.edu/academics/colleges/PublicHealth/Academics/departments/Biostatistics/,2016-04
University of Colorado Denver,Biostatistics,Biostatistics,PhD,Doctorate,Colorado,Denver,155,663862,4283,37.5,70.2,39.7451883,-104.8377104,http://www.ucdenver.edu/academics/colleges/PublicHealth/Academics/departments/Biostatistics/,2016-04
University of Denver,Research Methods and Statistics,Statistics,MS,Master,Colorado,Denver,155,663862,4283,37.5,70.2,39.6787907,-104.9645939,http://morgridge.du.edu/programs/research-methods-and-statistics/,2016-04
University of Denver,Research Methods and Statistics,Statistics,PhD,Doctorate,Colorado,Denver,155,663862,4283,37.5,70.2,39.6787907,-104.9645939,http://morgridge.du.edu/programs/research-methods-and-statistics/,2016-04
University of Connecticut,Biostatistics,Biostatistics,MS,Master,Connecticut,Storrs,45.5,25977,571,38.7,68.9,41.8103391,-72.2512266,http://stat.uconn.edu/,2016-04
University of Connecticut,Statistics,Statistics,MS,Master,Connecticut,Storrs,45.5,25977,571,38.7,68.9,41.8103391,-72.2512266,http://stat.uconn.edu/,2016-04
University of Connecticut,Statistics,Statistics,PhD,Doctorate,Connecticut,Storrs,45.5,25977,571,38.7,68.9,41.8103391,-72.2512266,http://stat.uconn.edu/,2016-04
Yale University,Biostatistics,Biostatistics,MPH,Master,Connecticut,New Haven,20.12,130282,6475,42.9,70.8,41.3037547,-72.9321516,https://publichealth.yale.edu/biostat/,2016-04
Yale University,Biostatistics,Biostatistics,MS,Master,Connecticut,New Haven,20.12,130282,6475,42.9,70.8,41.3037547,-72.9321516,https://publichealth.yale.edu/biostat/,2016-04
Yale University,Biostatistics,Biostatistics,PhD,Doctorate,Connecticut,New Haven,20.12,130282,6475,42.9,70.8,41.3037547,-72.9321516,https://publichealth.yale.edu/biostat/,2016-04
Yale University,Statistics,Statistics,MA,Master,Connecticut,New Haven,20.12,130282,6475,42.9,70.8,41.3134559,-72.9241546,http://statistics.yale.edu/,2016-04
Yale University,Statistics,Statistics,PhD,Doctorate,Connecticut,New Haven,20.12,130282,6475,42.9,70.8,41.3134559,-72.9241546,http://statistics.yale.edu/,2016-04
University of Delaware,Statistics,Statistics,MS,Master,Delaware,Newark,8.88,33008,3717,43.9,74.1,39.665854,-75.7515098,http://canr.udel.edu/apec/,2016-04
American University,Biostatistics,Biostatistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9349541,-77.0893566,http://www.american.edu/cas/mathstat/,2016-04
American University,Statistics,Statistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9349541,-77.0893566,http://www.american.edu/cas/mathstat/,2016-04
George Washington University,Biostatistics,Biostatistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9002113,-77.0481826,https://statistics.columbian.gwu.edu/,2016-04
George Washington University,Statistics,Statistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9002113,-77.0481826,https://statistics.columbian.gwu.edu/,2016-04
George Washington University,Statistics,Statistics,PhD,Doctorate,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9002113,-77.0481826,https://statistics.columbian.gwu.edu/,2016-04
Georgetown University,Biostatistics,Biostatistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9117345,-77.075505,https://biostatistics.georgetown.edu/,2016-04
Georgetown University,Statistics,Statistics,MS,Master,District of Columbia,,68.34,658893,9641,47.4,77.1,38.9110144,-77.0766905,https://mathstat.georgetown.edu/,2016-04
Florida International University,Statistics,Statistics,MS,Master,Florida,Miami,55.27,430332,7786,73.8,83.4,25.7562266,-80.3747124,http://mathstat.fiu.edu/,2016-04
Florida State University,Biostatistics,Biostatistics,MS,Master,Florida,Tallahassee,103.1,188107,1825,59.1,81.1,30.4440707,-84.300041,http://www.stat.fsu.edu/,2016-04
Florida State University,Biostatistics,Biostatistics,PhD,Doctorate,Florida,Tallahassee,103.1,188107,1825,59.1,81.1,30.4440707,-84.300041,http://www.stat.fsu.edu/,2016-04
Florida State University,Data Science,Statistics,MS,Master,Florida,Tallahassee,103.1,188107,1825,59.1,81.1,30.4440707,-84.300041,http://www.stat.fsu.edu/,2016-04
Florida State University,Statistics,Statistics,MS,Master,Florida,Tallahassee,103.1,188107,1825,59.1,81.1,30.4440707,-84.300041,http://www.stat.fsu.edu/,2016-04
Florida State University,Statistics,Statistics,PhD,Doctorate,Florida,Tallahassee,103.1,188107,1825,59.1,81.1,30.4440707,-84.300041,http://www.stat.fsu.edu/,2016-04
University of Central Florida,Data Mining,Statistics,MS,Master,Florida,Orlando,110.7,262372,2370,67.5,83,28.6005501,-81.2001,https://statistics.cos.ucf.edu/,2016-04
University of Central Florida,Statistical Computing,Statistics,MS,Master,Florida,Orlando,110.7,262372,2370,67.5,83,28.6005501,-81.2001,https://statistics.cos.ucf.edu/,2016-04
University of Florida,Biostatistics,Biostatistics,MPH,Master,Florida,Gainesville,62.39,128460,2059,61.6,80.4,29.6396854,-82.3501334,http://biostat.ufl.edu/,2016-04
University of Florida,Biostatistics,Biostatistics,MS,Master,Florida,Gainesville,62.39,128460,2059,61.6,80.4,29.6396854,-82.3501334,http://biostat.ufl.edu/,2016-04
University of Florida,Biostatistics,Biostatistics,PhD,Doctorate,Florida,Gainesville,62.39,128460,2059,61.6,80.4,29.6396854,-82.3501334,http://biostat.ufl.edu/,2016-04
University of Florida,Statistics,Statistics,MS,Master,Florida,Gainesville,62.39,128460,2059,61.6,80.4,29.6501016,-82.3437303,http://www.stat.ufl.edu/,2016-04
University of Florida,Statistics,Statistics,PhD,Doctorate,Florida,Gainesville,62.39,128460,2059,61.6,80.4,29.6501016,-82.3437303,http://www.stat.ufl.edu/,2016-04
University of Miami,Biostatistics,Biostatistics,MS,Master,Florida,Miami,55.27,430332,7786,73.8,83.4,25.7872068,-80.2129591,http://www.biostat.med.miami.edu/,2016-04
University of Miami,Biostatistics,Biostatistics,PhD,Doctorate,Florida,Miami,55.27,430332,7786,73.8,83.4,25.7872068,-80.2129591,http://www.biostat.med.miami.edu/,2016-04
University of Northern Florida,Mathematical Sciences Statistics Track,Statistics,MS,Master,Florida,Jacksonville,885,853382,964,60.6,81,30.2675444,-81.5073144,https://www.unf.edu/coas/math-stat/,2016-04
University of South Florida,Biostatistics,Biostatistics,MPH,Master,Florida,Tampa,170.6,358699,2103,68.1,82.6,28.0672791,-82.4248222,http://health.usf.edu/publichealth/epb/,2016-04
University of South Florida,Biostatistics,Biostatistics,MSPH,Master,Florida,Tampa,170.6,358699,2103,68.1,82.6,28.0672791,-82.4248222,http://health.usf.edu/publichealth/epb/,2016-04
University of South Florida,Biostatistics,Biostatistics,PhD,Doctorate,Florida,Tampa,170.6,358699,2103,68.1,82.6,28.0672791,-82.4248222,http://health.usf.edu/publichealth/epb/,2016-04
University of South Florida,Statistics,Statistics,MA,Master,Florida,Tampa,170.6,358699,2103,68.1,82.6,28.0597709,-82.4148356,http://www.math.usf.edu/grad/stats/,2016-04
University of South Florida,Statistics,Statistics,PhD,Doctorate,Florida,Tampa,170.6,358699,2103,68.1,82.6,28.0597709,-82.4148356,http://www.math.usf.edu/grad/stats/,2016-04
University of West Florida,Mathematical Sciences Statistics Track,Statistics,MS,Master,Florida,Pensacola,40.7,53068,1304,59.4,80.8,30.5470516,-87.2167397,http://uwf.edu/cse/departments/mathematics-and-statistics/,2016-04
Emory University,Biostatistics,Biostatistics,MPH,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7975666,-84.3234332,http://sph.emory.edu/departments/bios/,2016-04
Emory University,Computer Science with Biostatistics Concentration,Biostatistics,MS,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7901952,-84.3265526,http://www.mathcs.emory.edu/index.php,2016-04
Emory University,Biostatistics,Biostatistics,MSPH,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7975666,-84.3234332,http://sph.emory.edu/departments/bios/,2016-04
Emory University,Biostatistics,Biostatistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7975666,-84.3234332,http://sph.emory.edu/departments/bios/,2016-04
Emory University,Computer Science with Data Science Concentration,Statistics,MS,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7901952,-84.3265526,http://www.mathcs.emory.edu/index.php,2016-04
Georgia Institute of Technology,Bioinformatics,Biostatistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7736024,-84.3959246,https://www.math.gatech.edu/,2016-04
Georgia Institute of Technology,Quantitative Biosciences,Biostatistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7736024,-84.3959246,https://www.math.gatech.edu/,2016-04
Georgia Institute of Technology,Statistics,Statistics,MS,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7736024,-84.3959246,https://www.math.gatech.edu/,2016-04
Georgia Institute of Technology,"Algorithms, Combinatorics, and Optimization",Statistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7736024,-84.3959246,https://www.math.gatech.edu/,2016-04
Georgia Institute of Technology,Computational Sciences and Engineering,Statistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7736024,-84.3959246,https://www.math.gatech.edu/,2016-04
Georgia Southern University,Biostatistics,Biostatistics,MPH,Master,Georgia,Statesboro,13.86,30367,2191,54,79.8,32.4261903,-81.7857023,http://jphcoph.georgiasouthern.edu/degrees/mph/concentrations/mph-biostatistics/,2016-04
Georgia State University,Biostatistics,Biostatistics,MPH,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7542407,-84.3890168,http://publichealth.gsu.edu/academic/divisions/epidemiology-biostatistics/,2016-04
Georgia State University,Mathematics with Biostatistics Concentration,Biostatistics,MS,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7535114,-84.3890007,http://mathstat.gsu.edu/,2016-04
Georgia State University,Mathematics with Biostatistics Concentration,Biostatistics,PhD,Doctorate,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7535114,-84.3890007,http://mathstat.gsu.edu/,2016-04
Georgia State University,Mathematics with Statistics Concentration,Statistics,MS,Master,Georgia,Atlanta,134,456002,3403,52.2,78.7,33.7535114,-84.3890007,http://mathstat.gsu.edu/,2016-04
Kennesaw State University,Applied Statistics,Statistics,MS,Master,Georgia,Kennesaw,9.54,32400,3396,49.9,74.8,34.0359681,-84.5835815,http://csm.kennesaw.edu/statistics/,2016-04
Kennesaw State University,Analytics and Data Science,Statistics,PhD,Doctorate,Georgia,Kennesaw,9.54,32400,3396,49.9,74.8,34.0359681,-84.5835815,http://csm.kennesaw.edu/statistics/,2016-04
University of Georgia,Biostatistics,Biostatistics,MS,Master,Georgia,Athens,118.2,119648,1012,51.7,78.8,33.9632936,-83.4045282,https://www.publichealth.uga.edu/epibio/,2016-04
University of Georgia,Biostatistics,Biostatistics,PhD,Doctorate,Georgia,Athens,118.2,119648,1012,51.7,78.8,33.9632936,-83.4045282,https://www.publichealth.uga.edu/epibio/,2016-04
University of Georgia,Statistics,Statistics,MS,Master,Georgia,Athens,118.2,119648,1012,51.7,78.8,33.9452401,-83.3716094,http://www.stat.uga.edu/,2016-04
University of Georgia,Statistics,Statistics,PhD,Doctorate,Georgia,Athens,118.2,119648,1012,51.7,78.8,33.9452401,-83.3716094,http://www.stat.uga.edu/,2016-04
University of Idaho,Statistics,Statistics,MS,Master,Idaho,Moscow,6.85,24767,3616,36.1,62.3,46.728117,-117.0124123,https://www.uidaho.edu/sci/stat/,2016-04
DePaul University,Applied Statistics,Statistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.9241207,-87.6554892,http://csh.depaul.edu/departments/mathematical-sciences/,2016-04
Loyola University Chicago,Applied Statistics,Statistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.9979332,-87.6567241,http://www.luc.edu/math/,2016-04
Northern Illinois University,Applied Probability and Statistics,Statistics,MS,Master,Illinois,DeKalb,14.81,43862,2962,34.1,69.9,41.9336388,-88.7705585,http://www.niu.edu/stat/,2016-04
Northern Illinois University,Mathematical Sciences Statistics Track,Statistics,PhD,Doctorate,Illinois,DeKalb,14.81,43862,2962,34.1,69.9,41.9336388,-88.7705585,http://www.niu.edu/stat/,2016-04
Northwestern University,Epidemiology and Statistics,Biostatistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.8937706,-87.6222315,http://csh.depaul.edu/departments/mathematical-sciences/,2016-04
Northwestern University,Statistics,Statistics,PhD,Doctorate,Illinois,Evanston,7.8,75658,9700,37,70.7,42.054169,-87.6776274,http://www.statistics.northwestern.edu/,2016-04
University of Chicago,Statistics,Statistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.7901025,-87.600937,https://galton.uchicago.edu/,2016-04
University of Chicago,Statistics,Statistics,PhD,Doctorate,Illinois,Chicago,234,2722389,11634,36.9,71,41.7901025,-87.600937,https://galton.uchicago.edu/,2016-04
University of Illinois at Chicago,Biostatistics,Biostatistics,MPH,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.8686335,-87.6675876,http://publichealth.uic.edu/epidemiology-and-biostatistics,2016-04
University of Illinois at Chicago,Biostatistics,Biostatistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.8686335,-87.6675876,http://publichealth.uic.edu/epidemiology-and-biostatistics,2016-04
University of Illinois at Chicago,Biostatistics,Biostatistics,PhD,Doctorate,Illinois,Chicago,234,2722389,11634,36.9,71,41.8686335,-87.6675876,http://publichealth.uic.edu/epidemiology-and-biostatistics,2016-04
University of Illinois at Chicago,Statistics,Statistics,MS,Master,Illinois,Chicago,234,2722389,11634,36.9,71,41.8708387,-87.6504104,https://www.math.uic.edu/graduate,2016-04
University of Illinois at Chicago,Statistics,Statistics,PhD,Doctorate,Illinois,Chicago,234,2722389,11634,36.9,71,41.8708387,-87.6504104,https://www.math.uic.edu/graduate,2016-04
University of Illinois at Urbana-Champaign,Applied Statistics,Statistics,MS,Master,Illinois,Champaign,22.43,84513,3768,38.5,72.5,40.1094793,-88.229275,http://www.stat.illinois.edu/,2016-04
University of Illinois at Urbana-Champaign,Statistics,Statistics,MS,Master,Illinois,Champaign,22.43,84513,3768,38.5,72.5,40.1094793,-88.229275,http://www.stat.illinois.edu/,2016-04
University of Illinois at Urbana-Champaign,Statistics,Statistics,PhD,Doctorate,Illinois,Champaign,22.43,84513,3768,38.5,72.5,40.1094793,-88.229275,http://www.stat.illinois.edu/,2016-04
Ball State University,Statistics,Statistics,MAS,Master,Indiana,Muncie,27.39,70211,2563,39.4,72.2,40.1981338,-85.4114706,http://cms.bsu.edu/academics/collegesanddepartments/math/,2016-04
Ball State University,Statistics,Statistics,MS,Master,Indiana,Muncie,27.39,70211,2563,39.4,72.2,40.1981338,-85.4114706,http://cms.bsu.edu/academics/collegesanddepartments/math/,2016-04
Indiana University,Biostatistics,Biostatistics,MPH,Master,Indiana,Indianapolis,372,848788,2282,40.04,73.7,39.7813056,-86.1669342,http://biostat.iupui.edu/,2016-04
Indiana University,Biostatistics,Biostatistics,MS,Master,Indiana,Indianapolis,372,848788,2282,40.04,73.7,39.7813056,-86.1669342,http://biostat.iupui.edu/,2016-04
